date,open,high,low,close,volume,number_of_trades
6/28/2022,0.482,0.705,0.482,0.607,34927817.3,86532
6/29/2022,0.606,0.637,0.553,0.586,13796283.04,33532
6/30/2022,0.586,0.586,0.485,0.529,6222148.68,17505
7/1/2022,0.531,0.548,0.48,0.49,5140353.11,13049
7/2/2022,0.49,0.581,0.456,0.512,8557930.59,19429
7/3/2022,0.511,0.53,0.491,0.511,6805334.71,14457
7/4/2022,0.512,0.531,0.487,0.525,3755985.17,8697
7/5/2022,0.526,0.528,0.48,0.503,3912684.58,9478
7/6/2022,0.503,0.528,0.49,0.514,2925948.21,6916
7/7/2022,0.514,0.58,0.506,0.549,8339701.24,16933
7/8/2022,0.55,0.579,0.499,0.513,4784196.81,11374
7/9/2022,0.515,0.538,0.511,0.521,2546026.51,5920
7/10/2022,0.521,0.533,0.49,0.501,2893515.99,7162
7/11/2022,0.5,0.531,0.483,0.495,5786029,11226
7/12/2022,0.495,0.505,0.463,0.464,2790584.04,6733
7/13/2022,0.465,0.504,0.434,0.5,3769838.26,10161
7/14/2022,0.5,0.51,0.469,0.508,3452540.61,7884
7/15/2022,0.508,0.549,0.491,0.518,3616819.65,10172
7/16/2022,0.52,0.545,0.499,0.529,2879151.86,7351
7/17/2022,0.529,0.55,0.508,0.514,2881850.4,8088
7/18/2022,0.515,0.598,0.514,0.587,5268889.33,12800
7/19/2022,0.585,0.658,0.554,0.619,9408623.01,26641
7/20/2022,0.62,0.649,0.552,0.56,6290495.96,18117
7/21/2022,0.559,0.586,0.537,0.567,2933257.67,9660
7/22/2022,0.568,0.604,0.544,0.546,3865914.56,10743
7/23/2022,0.545,0.594,0.537,0.562,6465283.85,14804
7/24/2022,0.562,0.656,0.558,0.605,14297985.61,35786
7/25/2022,0.604,0.606,0.546,0.549,5198954.61,13899
7/26/2022,0.551,0.556,0.509,0.539,3182189.4,8208
7/27/2022,0.538,0.591,0.527,0.579,4327515.13,13436
7/28/2022,0.58,0.63,0.567,0.598,4544719.5,11385
7/29/2022,0.597,0.643,0.575,0.606,4791370.8,12248
7/30/2022,0.606,0.644,0.592,0.6,2709850.65,7808
7/31/2022,0.601,0.86,0.596,0.726,30568001.34,97930
8/1/2022,0.726,0.761,0.655,0.708,6777261.06,24886
8/2/2022,0.707,0.722,0.631,0.685,4829669.65,15956
8/3/2022,0.685,0.755,0.66,0.707,4131694.75,16478
8/4/2022,0.706,0.725,0.666,0.684,2551599.27,9612
8/5/2022,0.684,0.815,0.684,0.766,7704039.19,26995
8/6/2022,0.767,0.768,0.725,0.729,2089290.78,7807
