date,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
3/13/2023,1.238,1.39,1.146,1.277,33419079.04,1.67875E+12,42026526.33,146182,16297435.91,20524706.81,0
3/14/2023,1.277,1.472,1.225,1.383,29034750.23,1.67884E+12,39024675.75,132533,13849594.91,18693973.83,0
3/15/2023,1.382,1.508,1.167,1.253,26787764.8,1.67892E+12,35568731.63,122538,12795135.63,16973696.14,0
3/16/2023,1.255,1.381,1.23,1.34,16532422.43,1.67901E+12,21690990.76,79152,8412496.09,11041058.07,0
3/17/2023,1.341,1.585,1.308,1.579,15403437.9,1.6791E+12,21619152.51,75281,8133106.02,11447361.02,0
3/18/2023,1.579,1.597,1.408,1.462,15605813.35,1.67918E+12,23733534.85,88478,7504016.76,11429223.28,0
3/19/2023,1.461,1.578,1.397,1.472,13611852.19,1.67927E+12,20238391.6,75052,6779684.52,10077018.84,0
3/20/2023,1.473,1.483,1.327,1.341,14509110.85,1.67936E+12,20371721.86,79965,7000686.21,9839315.055,0
3/21/2023,1.341,1.4,1.271,1.338,13632817.14,1.67944E+12,18149747.29,65762,6912333.65,9214453.684,0
3/22/2023,1.338,1.488,1.291,1.374,22084411,1.67953E+12,30672764.76,115918,11005779.3,15260002.65,0
3/23/2023,1.373,1.411,1.31,1.332,15136699.7,1.67962E+12,20490502.61,67640,7784768.08,10548490.91,0
3/24/2023,1.332,1.345,1.189,1.215,11453764.76,1.6797E+12,14460862.33,46401,5206859.8,6587504.032,0
3/25/2023,1.215,1.234,1.126,1.15,7815864.39,1.67979E+12,9205870.658,34446,3385430.41,3987942.566,0
3/26/2023,1.151,1.26,1.136,1.232,6878882.26,1.67988E+12,8270645.709,33025,3704588.06,4455569.387,0
3/27/2023,1.233,1.235,1.098,1.148,7443790.01,1.67996E+12,8658003.502,34105,3360785.65,3906321.278,0
3/28/2023,1.147,1.194,1.088,1.178,8157812.28,1.68005E+12,9282217.192,41103,4267836.33,4864140.189,0
3/29/2023,1.178,1.315,1.169,1.293,9978442.82,1.68013E+12,12345639.11,49889,5074317.27,6282830.915,0
3/30/2023,1.291,1.313,1.207,1.262,10797680.34,1.68022E+12,13624673.4,52692,5176835.8,6543080.414,0
3/31/2023,1.261,1.392,1.204,1.373,11216647,1.68031E+12,14505369.82,56153,5577151.48,7224978.639,0
4/1/2023,1.374,1.381,1.304,1.346,7187303.1,1.68039E+12,9655796.342,40082,3408182.24,4583529.323,0
4/2/2023,1.347,1.362,1.246,1.275,5365279.43,1.68048E+12,6958735.438,30362,2518159.25,3265981.203,0
4/3/2023,1.275,1.351,1.227,1.293,7976491.26,1.68057E+12,10270531.65,48025,3807174.63,4906688.763,0
4/4/2023,1.293,1.376,1.273,1.331,7437504.4,1.68065E+12,9891680.524,40597,3817451.88,5076074.944,0
4/5/2023,1.331,1.394,1.306,1.342,8221455.99,1.68074E+12,11082032.91,42133,4203438.41,5674619.954,0
4/6/2023,1.343,1.344,1.272,1.307,4992040.55,1.68083E+12,6499013.525,26316,2207091.67,2874674.798,0
4/7/2023,1.305,1.319,1.262,1.303,4475408.37,1.68091E+12,5755023.726,21989,2130247.49,2743144.362,0
4/8/2023,1.304,1.31,1.26,1.271,2989072.37,1.681E+12,3841420.749,16247,1342724.47,1724958.145,0
4/9/2023,1.271,1.314,1.246,1.306,3333511.7,1.68108E+12,4253706.894,19654,1518035.93,1936636.461,0
4/10/2023,1.305,1.49,1.289,1.482,12054970.47,1.68117E+12,16764611.03,63543,6515030.7,9069004.44,0
4/11/2023,1.482,1.699,1.465,1.576,29507502.13,1.68126E+12,46717598.7,167217,14580731.81,23073124.72,0
4/12/2023,1.576,1.688,1.527,1.594,26425921.88,1.68134E+12,41992100.99,132614,12949978.41,20613866.81,0
4/13/2023,1.594,1.685,1.552,1.602,12246500.03,1.68143E+12,19658355.16,67704,5734811.56,9210509.913,0
4/14/2023,1.601,1.79,1.597,1.736,25306707.47,1.68152E+12,42755852.3,135632,12778893.25,21572924.14,0
4/15/2023,1.736,1.765,1.656,1.672,11185548.73,1.6816E+12,19117033.36,53834,5170201.46,8836087.565,0
4/16/2023,1.672,1.787,1.65,1.778,12388159.21,1.68169E+12,21470430.41,64110,6096396.06,10572834.28,0
4/17/2023,1.778,2.088,1.721,1.979,37330650.45,1.68178E+12,72567776.94,202916,19471884.79,37887247.36,0
4/18/2023,1.979,2.128,1.938,2.024,19925572.9,1.68186E+12,40559883.93,115715,9942759.97,20261381.13,0
4/19/2023,2.024,2.055,1.799,1.936,25527046.46,1.68195E+12,49503258.36,148486,12720953.77,24674277.96,0
4/20/2023,1.936,2.196,1.873,1.901,39880407.89,1.68204E+12,80789237.66,229193,20088122.32,40729103.18,0
4/21/2023,1.9,1.943,1.622,1.63,30822013.31,1.68212E+12,54935782.57,163622,14759418.76,26292932.98,0
4/22/2023,1.63,1.85,1.622,1.815,17504784.78,1.68221E+12,30517035.64,94972,9007190.07,15710728.98,0
4/23/2023,1.815,1.816,1.631,1.706,12565774.49,1.68229E+12,21624768.84,70644,6092079.46,10471462.59,0
4/24/2023,1.706,1.839,1.684,1.773,18407258.22,1.68238E+12,32467213.78,108931,9062517.64,16002536.03,0
4/25/2023,1.773,2.042,1.733,2.022,25710030.91,1.68247E+12,47493781.38,142360,12943581.81,23920280.71,0
4/26/2023,2.022,2.48,2,2.298,55376400.9,1.68255E+12,123949819.4,379306,29044649.24,65085869.52,0
4/27/2023,2.299,2.415,2.202,2.34,27131924.82,1.68264E+12,62789730.23,177848,13690648.25,31728905.53,0
4/28/2023,2.34,2.6,2.321,2.364,33115991.4,1.68273E+12,81296317.06,203743,16127641.53,39603237.2,0
4/29/2023,2.363,2.489,2.336,2.372,14472733.01,1.68281E+12,34700034.09,83365,7679818.18,18418327.99,0
4/30/2023,2.372,2.567,2.341,2.387,20028012.2,1.6829E+12,49014768.7,121055,10223730.95,25031393.66,0
5/1/2023,2.388,2.467,2.186,2.204,23312115.02,1.68299E+12,54416059.86,132285,11213816.28,26230166.8,0
5/2/2023,2.204,2.274,2.051,2.066,27750833.99,1.68307E+12,59431213.21,145007,13353579.65,28636848.24,0
5/3/2023,2.066,2.334,2.023,2.278,24685542.75,1.68316E+12,53225095.81,143425,12607691.82,27251384.71,0
5/4/2023,2.279,2.317,2.181,2.213,17841559.4,1.68324E+12,40201469.07,97266,8822215.28,19897503.77,0
5/5/2023,2.214,2.26,2.126,2.184,20322845.66,1.68333E+12,44512438.11,128074,10234908.76,22435989.44,0
5/6/2023,2.184,2.214,2.01,2.079,11556310.23,1.68342E+12,24095068.06,77128,5199074.07,10849193.91,0
5/7/2023,2.079,2.237,2.028,2.127,13109774.11,1.6835E+12,28050860.02,81764,6673774.95,14296660.98,0
5/8/2023,2.127,2.161,1.782,1.859,22026424.39,1.68359E+12,42535371.51,121459,10354178.47,19955996.32,0
5/9/2023,1.859,1.878,1.698,1.739,17729177.19,1.68368E+12,31384674.63,83728,8888600.26,15747189.87,0
5/10/2023,1.739,1.958,1.68,1.831,27701963.3,1.68376E+12,50173633.62,138942,13395021.25,24282609.63,0
5/11/2023,1.831,1.835,1.628,1.709,17277826.25,1.68385E+12,29363507.64,87627,8044277.01,13683920.7,0
5/12/2023,1.709,1.819,1.651,1.818,14571077.78,1.68394E+12,25121511.73,83204,7132365.56,12319018.01,0
5/13/2023,1.818,1.886,1.773,1.837,10621633.64,1.68402E+12,19386965.02,65628,5200829.59,9497815.175,0
5/14/2023,1.837,1.895,1.78,1.825,7706778.24,1.68411E+12,14150128.82,41517,3540642.35,6505876.971,0
5/15/2023,1.825,1.9,1.792,1.795,8121133.88,1.6842E+12,14906500.15,48447,3974828.51,7303297.982,0
5/16/2023,1.796,1.986,1.773,1.925,14411836.88,1.68428E+12,27230399.24,72616,7309519.85,13827942.06,0
5/17/2023,1.925,2.379,1.916,2.303,29250764.88,1.68437E+12,61669039.96,174654,15621590.14,32954512.95,0
5/18/2023,2.303,2.52,2.254,2.392,35763757.81,1.68445E+12,84206686.66,204940,17694529.38,41683479.32,0
5/19/2023,2.392,2.461,2.307,2.316,20252686.44,1.68454E+12,48228232.91,120642,9599574.55,22895881.59,0
5/20/2023,2.317,2.422,2.267,2.351,15144541.84,1.68463E+12,35501921.43,77604,7350650.33,17242885.99,0
5/21/2023,2.352,2.95,2.324,2.462,45372942.46,1.68471E+12,115269853.3,256331,23913870.77,60761377.13,0
5/22/2023,2.462,2.518,2.335,2.452,18656859.83,1.6848E+12,45379970.21,106741,9027866.53,21978516.95,0
5/23/2023,2.452,2.799,2.398,2.721,24267123.12,1.68489E+12,64381623.41,158223,12526578.36,33227360.72,0
5/24/2023,2.721,2.766,2.402,2.635,31743291.15,1.68497E+12,81323296.69,183688,15120071.73,38734633.22,0
5/25/2023,2.636,2.9,2.528,2.704,32120137.6,1.68506E+12,88040954.28,194986,16237679.57,44504192.54,0
5/26/2023,2.705,2.879,2.654,2.729,22148334.34,1.68515E+12,61427236.19,136865,10871542.34,30158260.87,0
5/27/2023,2.729,2.789,2.594,2.643,13947306.16,1.68523E+12,37412300.89,72719,6566869.53,17616493.66,0
5/28/2023,2.643,2.811,2.597,2.741,14243495.33,1.68532E+12,38381552.23,79323,7360620.95,19842002.08,0
5/29/2023,2.741,2.77,2.481,2.542,18072411.72,1.6854E+12,46863475.48,103140,8865254.47,22972074.48,0
5/30/2023,2.541,2.694,2.469,2.57,14781526.9,1.68549E+12,38322863.83,99114,7414099.9,19242136.62,0
5/31/2023,2.57,2.624,2.42,2.522,12019378.34,1.68558E+12,30168647.52,85644,5690233.7,14295375.71,0
6/1/2023,2.522,2.622,2.43,2.496,11686629.74,1.68566E+12,29532028.24,83076,6122104.49,15480460.21,0
6/2/2023,2.496,2.653,2.451,2.571,12270159.83,1.68575E+12,31572636.77,81183,6170203.7,15882240.64,0
6/3/2023,2.571,2.638,2.534,2.606,7472676.11,1.68584E+12,19326213.87,47956,3795732.08,9825326.296,0
6/4/2023,2.606,2.79,2.575,2.658,14915851.78,1.68592E+12,40176026.52,99687,7520870.88,20264604.86,0
6/5/2023,2.658,2.727,2.223,2.278,33792791.3,1.68601E+12,83252758.72,251406,16278299.19,40133319.14,0
6/6/2023,2.278,2.457,2.174,2.414,22235738.14,1.6861E+12,52138782.98,153578,11147262.8,26151805.66,0
6/7/2023,2.414,2.432,2.158,2.221,17600682.67,1.68618E+12,40064892.01,109122,8750088.14,19894546.16,0
6/8/2023,2.221,2.288,2.141,2.266,12416304.69,1.68627E+12,27513236.81,82615,6380493.74,14150799.27,0
6/9/2023,2.267,2.4,2.201,2.292,11959442.61,1.68636E+12,27503312.41,77666,5808161.73,13368877.91,0
6/10/2023,2.292,2.292,1.812,1.898,27022905.89,1.68644E+12,54470065.53,185977,12849829.65,25933641.07,0
6/11/2023,1.898,2.057,1.857,1.957,14041057.17,1.68653E+12,27385739.62,83464,6991125.83,13643091.45,0
6/12/2023,1.956,1.965,1.869,1.938,13227425.89,1.68661E+12,25416496.52,67272,6341505.49,12188088.49,0
6/13/2023,1.938,2.036,1.894,1.929,13426447.05,1.6867E+12,26167099.2,69082,6620170.8,12918894.67,0
6/14/2023,1.929,1.975,1.782,1.807,9008298.26,1.68679E+12,17058206.8,57133,4388798.33,8326420.498,0
6/15/2023,1.808,1.905,1.722,1.876,9779996.12,1.68687E+12,17645838.47,55103,4798755.09,8659522.748,0
6/16/2023,1.876,1.94,1.8,1.923,7359997.33,1.68696E+12,13749446.63,43331,3810242.08,7122468.007,0
6/17/2023,1.924,2.124,1.902,2.085,10312842.69,1.68705E+12,20898243.63,68089,5119158.39,10368891.39,0
6/18/2023,2.086,2.101,1.967,1.969,8363829.45,1.68713E+12,17024779.72,58030,4100101.45,8348910.296,0
6/19/2023,1.968,2.067,1.936,2.063,7023731.43,1.68722E+12,13992718.78,47568,3481303.72,6941997.071,0
6/20/2023,2.064,2.094,1.94,2.08,9562246.78,1.68731E+12,19385585.32,63212,4607122.94,9342964.352,0
6/21/2023,2.08,2.384,2.078,2.287,17321249.44,1.68739E+12,39364468.86,119798,8323120.73,18899860.29,0
6/22/2023,2.287,2.353,2.147,2.149,10819840.64,1.68748E+12,24328560.22,82279,5370295.89,12091968.38,0
6/23/2023,2.149,2.272,2.103,2.171,11035163.43,1.68756E+12,24059630.84,69263,5547205.3,12105156,0
6/24/2023,2.17,2.177,1.995,2.048,8561872.66,1.68765E+12,17829782.34,52693,4262488.33,8872537.403,0
6/25/2023,2.048,2.124,2.022,2.067,6254794.26,1.68774E+12,12934565.13,39496,2961306.07,6125331.711,0
6/26/2023,2.066,2.13,1.996,2.041,6952360.36,1.68782E+12,14337844.07,44598,3323678.3,6857467.427,0
6/27/2023,2.042,2.118,2.022,2.061,5726963.74,1.68791E+12,11888600.13,33088,2694267.05,5594781.603,0
6/28/2023,2.061,2.063,1.859,1.919,7981926.05,1.688E+12,15715787.11,49678,3728369.91,7345013.613,0
6/29/2023,1.918,2.027,1.906,1.975,5966975.87,1.68808E+12,11776517.54,37263,2848686.12,5623074.02,0
6/30/2023,1.977,2.095,1.865,2.037,12151992.83,1.68817E+12,24529411.67,85258,5929241.4,11966260.2,0
7/1/2023,2.038,2.089,2.031,2.06,5156131.02,1.68826E+12,10615857.66,32662,2430657.49,5008289.875,0
7/2/2023,2.06,2.067,1.981,2.023,4858530.5,1.68834E+12,9818166.667,30951,2203103.93,4453497.695,0
7/3/2023,2.023,2.161,2.008,2.157,8686186.3,1.68843E+12,18283944.48,57046,4474649.6,9426376.773,0
7/4/2023,2.158,2.243,2.057,2.073,9394094.65,1.68852E+12,20131927.88,62466,4545755.43,9762030.447,0
7/5/2023,2.074,2.098,1.943,1.963,7376341.1,1.6886E+12,14772631.91,45201,3416720.21,6840055.605,0
7/6/2023,1.963,2.081,1.908,1.913,6317109.48,1.68869E+12,12515749.93,46491,3026476.99,6003931.545,0
7/7/2023,1.911,1.966,1.885,1.948,4188735.62,1.68877E+12,8084064.037,25996,1922896.96,3711343.957,0
7/8/2023,1.951,1.989,1.908,1.945,2703916.48,1.68886E+12,5260594.613,18903,1327913.62,2585831.38,0
7/9/2023,1.946,1.974,1.916,1.922,2236021.4,1.68895E+12,4356071.128,15041,947068.92,1846779.971,0
7/10/2023,1.921,1.959,1.842,1.91,4438756.94,1.68903E+12,8414067.655,32292,2128803.56,4036738.089,0
7/11/2023,1.909,2.011,1.892,1.993,3878034.81,1.68912E+12,7623029.759,33432,2229653.17,4378789.537,0
7/12/2023,1.994,2.04,1.917,1.938,5239894.72,1.68921E+12,10432920.37,38289,2559929.95,5081701.362,0
7/13/2023,1.937,2.146,1.907,2.129,8910376.19,1.68929E+12,18174146.62,67129,4594893.93,9378727.732,0
7/14/2023,2.13,2.243,1.972,2.031,11233888.06,1.68938E+12,23850450.91,86211,5524803.31,11747348.67,0
7/15/2023,2.03,2.06,1.976,2.027,3747747.37,1.68947E+12,7564145.033,24556,1794875.55,3620814.204,0
7/16/2023,2.027,2.039,1.929,1.943,3428263.01,1.68955E+12,6798534.371,24793,1633324.81,3238974.094,0
7/17/2023,1.942,2.018,1.891,1.967,5494747.96,1.68964E+12,10668268.32,37774,2526598.33,4908546.705,0
7/18/2023,1.966,2.01,1.842,1.88,5122007.49,1.68972E+12,9868307.672,33619,2739900.51,5280503.538,0
7/19/2023,1.88,1.919,1.835,1.863,5618304.03,1.68981E+12,10579136.88,34555,2794942.84,5265305.213,0
7/20/2023,1.863,1.944,1.836,1.87,4553792.05,1.6899E+12,8622192.324,29600,1986025.98,3762747.425,0
7/21/2023,1.869,1.916,1.852,1.884,2607047.7,1.68998E+12,4927593.29,16348,1189187.58,2249522.389,0
7/22/2023,1.885,1.899,1.807,1.833,2183192.73,1.69007E+12,4062474.664,14992,1013731.9,1884292.147,0
7/23/2023,1.832,1.885,1.809,1.856,1796624.11,1.69016E+12,3328874.362,12343,840540.96,1558616.485,0
7/24/2023,1.857,1.862,1.715,1.75,5322776.28,1.69024E+12,9382629.498,33215,2359051.09,4154932.315,0
7/25/2023,1.749,1.811,1.747,1.771,3478655.69,1.69033E+12,6193753.024,19873,1786452.98,3183556.038,0
7/26/2023,1.772,1.786,1.725,1.762,3779105.28,1.69042E+12,6638552.286,22678,1844826.68,3242356.198,0
7/27/2023,1.762,1.808,1.74,1.767,3974243.21,1.6905E+12,7069797.111,17686,1933517.14,3444199.01,0
7/28/2023,1.767,1.82,1.756,1.806,2685053.04,1.69059E+12,4816181.248,15830,1286943.25,2309113.381,0
7/29/2023,1.807,1.827,1.785,1.805,1473848.98,1.69068E+12,2658983.59,10076,699276.12,1262181.716,0
7/30/2023,1.806,1.816,1.745,1.785,2770758.93,1.69076E+12,4958817.818,16732,1396752.71,2502543.661,0
7/31/2023,1.785,1.818,1.73,1.75,2770717.96,1.69085E+12,4933187.975,16079,1338646.03,2385046.077,0
8/1/2023,1.749,1.794,1.701,1.794,3222924.36,1.69093E+12,5625046.447,19831,1612960.4,2817553.088,0
8/2/2023,1.793,1.805,1.748,1.764,2891198.63,1.69102E+12,5137159.59,16795,1293796.2,2300299.293,0
8/3/2023,1.764,1.789,1.738,1.766,1903384.82,1.69111E+12,3358499.705,14022,987272.97,1742610.593,0
8/4/2023,1.766,1.782,1.712,1.732,2039462.58,1.69119E+12,3567807.147,12562,943672.37,1651692.021,0
8/5/2023,1.732,1.732,1.602,1.615,6293049.33,1.69128E+12,10346857.93,34278,2918034.58,4801815.569,0
8/6/2023,1.615,1.703,1.608,1.626,3582820.13,1.69137E+12,5909097.226,20034,1816082.65,2997016.78,0
8/7/2023,1.625,1.663,1.536,1.596,5716451.4,1.69145E+12,9174483.334,31743,2921736.45,4685573.729,0
8/8/2023,1.595,1.65,1.572,1.63,4014085.6,1.69154E+12,6474985.524,22385,2113719.52,3413567.52,0
8/9/2023,1.63,1.716,1.628,1.664,4148093.46,1.69163E+12,6931506.07,23959,2180544.77,3644572.796,0
8/10/2023,1.666,1.736,1.658,1.69,6036866.42,1.69171E+12,10275486.73,30412,3242232.84,5518662.442,0
8/11/2023,1.69,1.72,1.664,1.68,2450938.69,1.6918E+12,4143138.441,15267,1075683.02,1819307.035,0
8/12/2023,1.68,1.7,1.665,1.67,1359148,1.69188E+12,2287396.881,8473,657220.71,1105985.709,0
8/13/2023,1.671,1.696,1.638,1.651,1845531.64,1.69197E+12,3089781.261,11378,836464.47,1400963.699,0
8/14/2023,1.65,1.767,1.64,1.719,4893901.49,1.69206E+12,8441584.387,27859,2440606.19,4210453.375,0
8/15/2023,1.72,1.74,1.587,1.623,5096479.14,1.69214E+12,8517842.712,29647,2520448.59,4214805.19,0
8/16/2023,1.624,1.632,1.535,1.569,6907264.26,1.69223E+12,10920211.54,39351,3488794.6,5519589.58,0
8/17/2023,1.569,1.61,1.25,1.443,9327830.97,1.69232E+12,13860572.25,85407,4547669.5,6753441.598,0
8/18/2023,1.443,1.468,1.401,1.424,5959834.62,1.6924E+12,8509464.969,37788,2922448.44,4173657.207,0
8/19/2023,1.425,1.447,1.396,1.419,3988659.46,1.69249E+12,5645852.374,21961,2085591.25,2953071.402,0
8/20/2023,1.42,1.448,1.408,1.429,2514918.35,1.69258E+12,3590438.5,12836,1278309.03,1826211.844,0
8/21/2023,1.43,1.444,1.315,1.385,4488204.74,1.69266E+12,6191676.683,22172,2224337.58,3070401.527,0
8/22/2023,1.385,1.414,1.328,1.39,4490280.81,1.69275E+12,6174370.454,28177,2174878.09,2993063.927,0
8/23/2023,1.39,1.479,1.358,1.452,7119269.52,1.69284E+12,10127689.72,37332,3998100.54,5688907.036,0
8/24/2023,1.452,1.55,1.434,1.464,10250893.25,1.69292E+12,15245721.15,59476,5305516.97,7900840.297,0
8/25/2023,1.464,1.49,1.422,1.477,5396052.11,1.69301E+12,7882419.617,31917,2514436.25,3677326.076,0
8/26/2023,1.478,1.502,1.41,1.421,2776607.08,1.69309E+12,4043006.936,14138,1267389.73,1847082.863,0
8/27/2023,1.421,1.431,1.397,1.411,2317136.3,1.69318E+12,3275443.897,12055,1098401.59,1553329.915,0
8/28/2023,1.412,1.419,1.368,1.404,3355784.7,1.69327E+12,4679267.438,17863,1600084.16,2231303.515,0
8/29/2023,1.404,1.5,1.362,1.481,6494253.17,1.69335E+12,9379896.274,38094,3518049.2,5090956.75,0
8/30/2023,1.481,1.493,1.421,1.448,4378884.25,1.69344E+12,6356334.251,25938,1919281.01,2787507.766,0
8/31/2023,1.448,1.458,1.343,1.372,5161768.57,1.69353E+12,7257675.161,30532,2552727.48,3589072.979,0
9/1/2023,1.373,1.381,1.294,1.341,4456111.18,1.69361E+12,5963367.571,25205,2143503.23,2869949.232,0
9/2/2023,1.342,1.346,1.312,1.339,1933136.34,1.6937E+12,2575426.007,12515,953948.65,1271541.341,0
9/3/2023,1.34,1.367,1.325,1.358,2317774.67,1.69379E+12,3120899.09,15710,1131083.58,1524227.96,0
9/4/2023,1.359,1.398,1.332,1.352,3148781.97,1.69387E+12,4300736.891,18766,1642317.73,2247556.974,0
